file_name,title,artist,album,genre,duration
AsIfItSYourLast-BLACKPINK-6292053.flac,As if It'S Your Last,BLACKPINK,As If It's Your Last,Nhạc Hàn,213
BangBangBang-BIGBANG-6293092.flac,Bang Bang Bang,BIGBANG,Bang Bang Bang,Nhạc Hàn,220
BatterUp-BABYMONSTER-12550493.flac,Batter Up,BABYMONSTER,Batter Up,Nhạc Hàn,188
BeenThrough-EXO-5327333.flac,Been Through,EXO,Universe - Winter Special Album 2017,Nhạc Hàn, 218
Blue-BIGBANG-6292792.flac,Blue,BIGBANG,Blue,Nhạc Hàn,233
CherishMyLove-ILLIT-16507468.flac,Cherish (My Love),ILLIT,NhacCuaTui.com,Nhạc Hàn,176
ClikClak-BABYMONSTER-16623018,Clik Clak,BABYMONSTER,Clik Clak,Nhạc Hàn,78
CoHenVoiThanhXuanVerSanGa-ForestStudioAnhTuTrucNhanOrangeHuaKimTuyen-8553846.flac,Có Hẹn Với Thanh Xuân (Ver. Sân Ga),ForestStudio;AnhTu;TrucNhan;Orange;HuaKimTuyen,Có Hẹn Với Thanh Xuân (Ver. Sân Ga),Pop,239
ConEmAnhBoChoAiLiveAtLululola-KieuOanh-15642614.flac,Còn Em Anh Bỏ Cho Ai (Live At Lululola),Kiều Oanh,NhacCuaTui.com,Nhạc Trẻ,286
Crazy-LESSERAFIM-15907006.flac,Crazy,LE SSERAFIM,NhacCuaTui.com,Nhạc Hàn,164
CrazyOverYou-BLACKPINK-6720105.flac,Crazy Over You,BLACKPINK,Crazy Over You,Nhạc Hàn,161
Crooked-GDRAGON-7847151.flac,Crooked,G-DRAGON,Crooked,Nhạc Hàn,224
DayByDay-Tara-1856855.flac,Day By Day,T-ara,NhacCuaTui.com,Nhạc Hàn,209
DauTheGianDoiThayLofiVersion-HuowgVietNamCvPVietNamKiyoshiPhanYueVietNam-7350111.flac,Dẫu Thế Gian Đổi Thay (Lofi Version),"Huowg (Việt Nam), CvP (Việt Nam), Kiyoshi Phan, Yue (Việt Nam)",NhacCuaTui.com,Nhạc Trẻ,309
DduduDdudu-BLACKPINK-6291998.flac,Ddu-du Ddu-du,BLACKPINK,Ddu-du Ddu-du,Nhạc Hàn,209
DependOnYou-TWICE-6759612.flac,Depend On You,TWICE,NhacCuaTui.com,Nhạc Hàn,198
Ditto-NewJeans-8444477.flac,Ditto,NewJeans,NhacCuaTui.com,Nhạc Hàn,185
DonTKnowWhatToDo-BLACKPINK-6291963.flac,Don'T Know What To Do,BLACKPINK,Don'T Know What To Do,Nhạc Hàn,201
